PopName,Area,Year,Month,Deaths
USA,01,2018,9,233359
USA,01,2018,10,241138
USA,01,2018,11,233359
USA,01,2018,12,241138
USA,01,2019,1,242466
USA,01,2019,2,219001
USA,01,2019,3,242466
USA,01,2019,4,234644
USA,01,2019,5,242466
USA,01,2019,6,234644
USA,01,2019,7,242466
USA,01,2019,8,242466
USA,01,2019,9,234644
USA,01,2019,10,242466
USA,01,2019,11,234644
USA,01,2019,12,242466
USA,01,2020,1,286600
USA,01,2020,2,268110
USA,01,2020,3,286600
USA,01,2020,4,277355
USA,01,2020,5,286600
USA,01,2020,6,277355
USA,01,2020,7,286600
USA,01,2020,8,286600
USA,01,2020,9,277355
USA,01,2020,10,286600
USA,01,2020,11,277355
USA,01,2020,12,286600
USA,01,2021,1,294222
USA,01,2021,2,265749
USA,01,2021,3,294222
USA,01,2021,4,284731
USA,01,2021,5,294222
USA,01,2021,6,284731
USA,01,2021,7,294222
USA,01,2021,8,294222
USA,01,2021,9,284731
USA,01,2021,10,294222
USA,01,2021,11,284731
USA,01,2021,12,294222
USA,01,2022,1,278563
USA,01,2022,2,251605
USA,01,2022,3,278563
USA,01,2022,4,269577
USA,01,2022,5,278563
USA,01,2022,6,269577
USA,01,2022,7,278563
USA,01,2022,8,278563
USA,01,2022,9,269577
USA,01,2022,10,278563
USA,01,2022,11,269577
USA,01,2022,12,278563
USA,01,2023,1,262520
USA,01,2023,2,237115
USA,01,2023,3,262520
USA,01,2023,4,254052
USA,01,2023,5,262520
USA,01,2023,6,254052
USA,01,2023,7,262520
USA,01,2023,8,262520
USA,01,2023,9,254052
USA,01,2023,10,262520
USA,01,2023,11,254052
USA,01,2023,12,262520
USA,02,1933,1,113987
USA,02,1933,2,102956
USA,02,1933,3,113987
USA,02,1933,4,110310
USA,02,1933,5,113987
USA,02,1933,6,110310
USA,02,1933,7,113987
USA,02,1933,8,113987
USA,02,1933,9,110310
USA,02,1933,10,113987
USA,02,1933,11,110310
USA,02,1933,12,113987
USA,02,1934,1,118641
USA,02,1934,2,107160
USA,02,1934,3,118641
USA,02,1934,4,114814
USA,02,1934,5,118641
USA,02,1934,6,114814
USA,02,1934,7,118641
USA,02,1934,8,118641
USA,02,1934,9,114814
USA,02,1934,10,118641
USA,02,1934,11,114814
USA,02,1934,12,118641
USA,02,1935,1,118289
USA,02,1935,2,106841
USA,02,1935,3,118289
USA,02,1935,4,114473
USA,02,1935,5,118289
USA,02,1935,6,114473
USA,02,1935,7,118289
USA,02,1935,8,118289
USA,02,1935,9,114473
USA,02,1935,10,118289
USA,02,1935,11,114473
USA,02,1935,12,118289
USA,02,1936,1,125290
USA,02,1936,2,117207
USA,02,1936,3,125290
USA,02,1936,4,121248
USA,02,1936,5,125290
USA,02,1936,6,121248
USA,02,1936,7,125290
USA,02,1936,8,125290
USA,02,1936,9,121248
USA,02,1936,10,125290
USA,02,1936,11,121248
USA,02,1936,12,125290
USA,02,1937,1,123187
USA,02,1937,2,111266
USA,02,1937,3,123187
USA,02,1937,4,119213
USA,02,1937,5,123187
USA,02,1937,6,119213
USA,02,1937,7,123187
USA,02,1937,8,123187
USA,02,1937,9,119213
USA,02,1937,10,123187
USA,02,1937,11,119213
USA,02,1937,12,123187
USA,02,1938,1,117324
USA,02,1938,2,105970
USA,02,1938,3,117324
USA,02,1938,4,113539
USA,02,1938,5,117324
USA,02,1938,6,113539
USA,02,1938,7,117324
USA,02,1938,8,117324
USA,02,1938,9,113539
USA,02,1938,10,117324
USA,02,1938,11,113539
USA,02,1938,12,117324
USA,02,1939,1,117876
USA,02,1939,2,106469
USA,02,1939,3,117876
USA,02,1939,4,114074
USA,02,1939,5,117876
USA,02,1939,6,114074
USA,02,1939,7,117876
USA,02,1939,8,117876
USA,02,1939,9,114074
USA,02,1939,10,117876
USA,02,1939,11,114074
USA,02,1939,12,117876
USA,02,1940,1,120042
USA,02,1940,2,112297
USA,02,1940,3,120042
USA,02,1940,4,116170
USA,02,1940,5,120042
USA,02,1940,6,116170
USA,02,1940,7,120042
USA,02,1940,8,120042
USA,02,1940,9,116170
USA,02,1940,10,120042
USA,02,1940,11,116170
USA,02,1940,12,120042
USA,02,1941,1,118704
USA,02,1941,2,107216
USA,02,1941,3,118704
USA,02,1941,4,114875
USA,02,1941,5,118704
USA,02,1941,6,114875
USA,02,1941,7,118704
USA,02,1941,8,118704
USA,02,1941,9,114875
USA,02,1941,10,118704
USA,02,1941,11,114875
USA,02,1941,12,118704
USA,02,1942,1,117646
USA,02,1942,2,106261
USA,02,1942,3,117646
USA,02,1942,4,113851
USA,02,1942,5,117646
USA,02,1942,6,113851
USA,02,1942,7,117646
USA,02,1942,8,117646
USA,02,1942,9,113851
USA,02,1942,10,117646
USA,02,1942,11,113851
USA,02,1942,12,117646
USA,02,1943,1,123961
USA,02,1943,2,111965
USA,02,1943,3,123961
USA,02,1943,4,119963
USA,02,1943,5,123961
USA,02,1943,6,119963
USA,02,1943,7,123961
USA,02,1943,8,123961
USA,02,1943,9,119963
USA,02,1943,10,123961
USA,02,1943,11,119963
USA,02,1943,12,123961
USA,02,1944,1,119540
USA,02,1944,2,111827
USA,02,1944,3,119540
USA,02,1944,4,115683
USA,02,1944,5,119540
USA,02,1944,6,115683
USA,02,1944,7,119540
USA,02,1944,8,119540
USA,02,1944,9,115683
USA,02,1944,10,119540
USA,02,1944,11,115683
USA,02,1944,12,119540
USA,02,1945,1,119050
USA,02,1945,2,107529
USA,02,1945,3,119050
USA,02,1945,4,115210
USA,02,1945,5,119050
USA,02,1945,6,115210
USA,02,1945,7,119050
USA,02,1945,8,119050
USA,02,1945,9,115210
USA,02,1945,10,119050
USA,02,1945,11,115210
USA,02,1945,12,119050
USA,02,1946,1,118532
USA,02,1946,2,107061
USA,02,1946,3,118532
USA,02,1946,4,114708
USA,02,1946,5,118532
USA,02,1946,6,114708
USA,02,1946,7,118532
USA,02,1946,8,118532
USA,02,1946,9,114708
USA,02,1946,10,118532
USA,02,1946,11,114708
USA,02,1946,12,118532
USA,02,1947,1,122757
USA,02,1947,2,110878
USA,02,1947,3,122757
USA,02,1947,4,118798
USA,02,1947,5,122757
USA,02,1947,6,118798
USA,02,1947,7,122757
USA,02,1947,8,122757
USA,02,1947,9,118798
USA,02,1947,10,122757
USA,02,1947,11,118798
USA,02,1947,12,122757
USA,02,1948,1,122335
USA,02,1948,2,114442
USA,02,1948,3,122335
USA,02,1948,4,118388
USA,02,1948,5,122335
USA,02,1948,6,118388
USA,02,1948,7,122335
USA,02,1948,8,122335
USA,02,1948,9,118388
USA,02,1948,10,122335
USA,02,1948,11,118388
USA,02,1948,12,122335
USA,02,1949,1,122608
USA,02,1949,2,110742
USA,02,1949,3,122608
USA,02,1949,4,118653
USA,02,1949,5,122608
USA,02,1949,6,118653
USA,02,1949,7,122608
USA,02,1949,8,122608
USA,02,1949,9,118653
USA,02,1949,10,122608
USA,02,1949,11,118653
USA,02,1949,12,122608
USA,02,1950,1,123359
USA,02,1950,2,111421
USA,02,1950,3,123359
USA,02,1950,4,119380
USA,02,1950,5,123359
USA,02,1950,6,119380
USA,02,1950,7,123359
USA,02,1950,8,123359
USA,02,1950,9,119380
USA,02,1950,10,123359
USA,02,1950,11,119380
USA,02,1950,12,123359
USA,02,1951,1,125877
USA,02,1951,2,113695
USA,02,1951,3,125877
USA,02,1951,4,121816
USA,02,1951,5,125877
USA,02,1951,6,121816
USA,02,1951,7,125877
USA,02,1951,8,125877
USA,02,1951,9,121816
USA,02,1951,10,125877
USA,02,1951,11,121816
USA,02,1951,12,125877
USA,02,1952,1,126781
USA,02,1952,2,118602
USA,02,1952,3,126781
USA,02,1952,4,122692
USA,02,1952,5,126781
USA,02,1952,6,122692
USA,02,1952,7,126781
USA,02,1952,8,126781
USA,02,1952,9,122692
USA,02,1952,10,126781
USA,02,1952,11,122692
USA,02,1952,12,126781
USA,02,1953,1,128887
USA,02,1953,2,116414
USA,02,1953,3,128887
USA,02,1953,4,124729
USA,02,1953,5,128887
USA,02,1953,6,124729
USA,02,1953,7,128887
USA,02,1953,8,128887
USA,02,1953,9,124729
USA,02,1953,10,128887
USA,02,1953,11,124729
USA,02,1953,12,128887
USA,02,1954,1,125791
USA,02,1954,2,113618
USA,02,1954,3,125791
USA,02,1954,4,121734
USA,02,1954,5,125791
USA,02,1954,6,121734
USA,02,1954,7,125791
USA,02,1954,8,125791
USA,02,1954,9,121734
USA,02,1954,10,125791
USA,02,1954,11,121734
USA,02,1954,12,125791
USA,02,1955,1,129836
USA,02,1955,2,117271
USA,02,1955,3,129836
USA,02,1955,4,125648
USA,02,1955,5,129836
USA,02,1955,6,125648
USA,02,1955,7,129836
USA,02,1955,8,129836
USA,02,1955,9,125648
USA,02,1955,10,129836
USA,02,1955,11,125648
USA,02,1955,12,129836
USA,02,1956,1,132510
USA,02,1956,2,123961
USA,02,1956,3,132510
USA,02,1956,4,128236
USA,02,1956,5,132510
USA,02,1956,6,128236
USA,02,1956,7,132510
USA,02,1956,8,132510
USA,02,1956,9,128236
USA,02,1956,10,132510
USA,02,1956,11,128236
USA,02,1956,12,132510
USA,02,1957,1,138704
