Year,Age,Gender,Population,Deaths
1960,26,Female,1064000,949.0
1960,26,Male,1025000,1784.0
1960,27,Female,1090000,948.0
1960,27,Male,1053000,1802.0
1960,28,Female,1122000,1038.0
1960,28,Male,1083000,1827.0
1960,29,Female,1146000,1131.0
1960,29,Male,1103000,1959.0
1960,30,Female,1169000,1321.0
1960,30,Male,1122000,2057.0
1960,31,Female,1193000,1293.0
1960,31,Male,1145000,2132.0
1960,32,Female,1219000,1443.0
1960,32,Male,1170000,2325.0
1960,33,Female,1240000,1587.0
1960,33,Male,1189000,2588.0
1960,34,Female,1257000,1825.0
1960,34,Male,1202000,2629.0
1960,35,Female,1273000,2018.0
1960,35,Male,1212000,2950.0
1960,36,Female,1288000,2074.0
1960,36,Male,1223000,3150.0
1960,37,Female,1294000,2220.0
1960,37,Male,1227000,3425.0
1960,38,Female,1285000,2559.0
1960,38,Male,1218000,3864.0
1960,39,Female,1263000,2696.0
1960,39,Male,1199000,4205.0
1960,40,Female,1237000,3013.0
1960,40,Male,1177000,4498.0
1960,41,Female,1208000,2979.0
1960,41,Male,1153000,4717.0
1960,42,Female,1182000,3447.0
1960,42,Male,1132000,5291.0
1960,43,Female,1165000,3480.0
1960,43,Male,1119000,5531.0
1960,44,Female,1154000,3789.0
1960,44,Male,1112000,6197.0
1960,45,Female,1142913,4163.0
1960,45,Male,1104788,6896.0
1960,46,Female,1130351,4322.0
1960,46,Male,1094549,7376.0
1960,47,Female,1112923,4765.0
1960,47,Male,1079420,8118.0
1960,48,Female,1088590,4890.0
1960,48,Male,1057131,8858.0
1960,49,Female,1059959,5319.0
1960,49,Male,1030113,9576.0
1960,50,Female,1031726,5849.0
1960,50,Male,1003010,10638.0
1960,51,Female,1002209,5843.0
1960,51,Male,974275,10849.0
1960,52,Female,976680,6319.0
1960,52,Male,948785,12096.0
1960,53,Female,955414,6329.0
1960,53,Male,927022,12515.0
1960,54,Female,935216,6937.0
1960,54,Male,905908,13218.0
1960,55,Female,912958,7151.0
1960,55,Male,882459,13965.0
1960,56,Female,891452,7331.0
1960,56,Male,859849,14293.0
1960,57,Female,867276,7788.0
1960,57,Male,832924,15005.0
1960,58,Female,840397,8042.0
1960,58,Male,801053,15395.0
1960,59,Female,813895,9933.0
1960,59,Male,767715,17850.0
1960,60,Female,789493,10724.0
1960,60,Male,736335,18521.0
1960,61,Female,763867,9334.0
1960,61,Male,703548,17502.0
1960,62,Female,742360,11300.0
1960,62,Male,675637,19350.0
1960,63,Female,727764,11861.0
1960,63,Male,656141,20049.0
1960,64,Female,717038,12674.0
1960,64,Male,641930,22129.0
1960,65,Female,705036,14174.0
1960,65,Male,626906,24021.0
1960,66,Female,692864,13608.0
1960,66,Male,611555,23007.0
1960,67,Female,676372,15505.0
1960,67,Male,593284,25065.0
1960,68,Female,651039,15730.0
1960,68,Male,567929,24687.0
1960,69,Female,618452,16258.0
1960,69,Male,536675,24550.0
1960,70,Female,584646,18136.0
1960,70,Male,504693,26517.0
1960,71,Female,550577,17332.0
1960,71,Male,473000,25628.0
1960,72,Female,515502,19436.0
1960,72,Male,440155,26892.0
1960,73,Female,480355,18828.0
1960,73,Male,406402,25358.0
1960,74,Female,445611,19871.0
1960,74,Male,372420,25709.0
1960,75,Female,410891,21370.0
1960,75,Male,338725,25791.0
1960,76,Female,376054,20224.0
1960,76,Male,305594,24402.0
1960,77,Female,341491,19902.0
1960,77,Male,272986,23005.0
1960,78,Female,307576,20533.0
1960,78,Male,241388,22502.0
1960,79,Female,274573,20812.0
1960,79,Male,211165,21437.0
1960,80,Female,242863,21527.0
1960,80,Male,182694,21085.0
1960,81,Female,212364,18586.0
1960,81,Male,156121,17877.0
1960,82,Female,183653,18966.0
1960,82,Male,131909,17706.0
1960,83,Female,156882,18788.0
1960,83,Male,110403,16512.0
1960,84,Female,132309,18438.0
1960,84,Male,91863,15746.0
1961,0,Female,2052243,45836.0
1961,0,Male,2120745,62120.0
1961,1,Female,2008784,3089.0
1961,1,Male,2076112,3671.0
1961,2,Female,1996953,1842.0
1961,2,Male,2060740,2277.0
1961,3,Female,2007365,1360.0
1961,3,Male,2072791,1769.0
1961,4,Female,2024833,1154.0
1961,4,Male,2101704,1467.0
1961,5,Female,1965108,994.0
1961,5,Male,2033241,1238.0
1961,6,Female,1930518,787.0
1961,6,Male,1995161,1192.0
1961,7,Female,1914058,739.0
1961,7,Male,1976010,978.0
1961,8,Female,1829966,594.0
1961,8,Male,1896372,883.0
1961,9,Female,1793162,552.0
1961,9,Male,1862350,827.0
1961,10,Female,1776361,517.0
1961,10,Male,1838136,815.0
1961,11,Female,1708594,501.0
1961,11,Male,1767977,818.0
1961,12,Female,1718179,527.0
1961,12,Male,1777071,903.0
1961,13,Female,1690248,536.0
1961,13,Male,1744484,1016.0
1961,14,Female,1877308,620.0
1961,14,Male,1937105,1211.0
1961,15,Female,1345235,568.0
1961,15,Male,1388842,1163.0
1961,16,Female,1342639,670.0
1961,16,Male,1379237,1467.0
1961,17,Female,1377000,707.0
1961,17,Male,1399000,1795.0
1961,18,Female,1469000,835.0
1961,18,Male,1467000,2056.0
1961,19,Female,1261000,759.0
1961,19,Male,1214000,2004.0
1961,20,Female,1217000,720.0
1961,20,Male,1162000,1968.0
1961,21,Female,1156000,774.0
1961,21,Male,1101000,1997.0
1961,22,Female,1140000,755.0
1961,22,Male,1095000,2027.0
1961,23,Female,1126000,790.0
1961,23,Male,1083000,1919.0
1961,24,Female,1098000,815.0
1961,24,Male,1044000,1715.0
1961,25,Female,1091000,850.0
1961,25,Male,1046000,1719.0
1961,26,Female,1095000,904.0
1961,26,Male,1055000,1742.0
1961,27,Female,1070000,919.0
1961,27,Male,1031000,1718.0
