Year,Age,mx_male,mx_female,mx_diff
1960,42,0.004674028268551237,0.002916243654822335,0.001757784613728902
1960,43,0.004942806076854335,0.0029871244635193135,0.001955681613335021
1960,44,0.005572841726618705,0.003283362218370884,0.0022894795082478206
1960,45,0.006241921527025999,0.003642446975404077,0.0025994745516219222
1960,46,0.006738848603397381,0.0038235910792311415,0.0029152575241662396
1960,47,0.007520705564099239,0.004281518128388038,0.0032391874357112008
1960,48,0.008379283173040994,0.004492049348239466,0.0038872338248015286
1960,49,0.009296067518806189,0.005018118625343055,0.0042779488934631335
1960,50,0.010606075712106559,0.005669140837780574,0.004936934874325985
1960,51,0.01113545970080316,0.0058301212621319504,0.00530533843867121
1960,52,0.012748936798115484,0.006469877544333866,0.006279059253781618
1960,53,0.013500218980779313,0.006624353421658046,0.006875865559121268
1960,54,0.014590885608693156,0.007417537766676361,0.007173347842016795
1960,55,0.015825097823241645,0.007832780916537234,0.00799231690670441
1960,56,0.016622686076276184,0.008223662070419944,0.00839902400585624
1960,57,0.018014848893776622,0.008979840327646562,0.00903500856613006
1960,58,0.019218453710303812,0.009569286896550082,0.00964916681375373
1960,59,0.023250815732400697,0.012204276964473305,0.011046538767927392
1960,60,0.02515295347905505,0.013583400992789043,0.011569552486266009
1960,61,0.02487676747002337,0.012219404686941574,0.012657362783081794
1960,62,0.028639639332955418,0.015221725308475672,0.013417914024479746
1960,63,0.030555932337713997,0.016297865791657734,0.014258066546056263
1960,64,0.034472606047388346,0.017675492791177038,0.016797113256211308
1960,65,0.038316749241513084,0.02010393795494131,0.018212811286571776
1960,66,0.037620492024429526,0.019640217993718824,0.017980274030710702
1960,67,0.04224789476877853,0.02292377567374167,0.019324119095036858
1960,68,0.043468461726729926,0.02416137896500824,0.019307082761721685
1960,69,0.04574463129454512,0.02628821638542684,0.01945641490911828
1960,70,0.05254085156719035,0.0310204807695597,0.02152037079763065
1960,71,0.054181818181818185,0.031479702203324876,0.02270211597849331
1960,72,0.061096659131442334,0.037703054498333666,0.023393604633108668
1960,73,0.06239634647467286,0.03919601128332171,0.023200335191351153
1960,74,0.06903227538800279,0.0445927052967723,0.02443957009123049
1960,75,0.0761414126503801,0.052008926941695,0.024132485708685106
1960,76,0.0798510441958939,0.053779510389465345,0.02607153380642855
1960,77,0.08427172089411178,0.05827972040258748,0.0259920004915243
1960,78,0.0932192155368121,0.0667574843290764,0.026461731207735706
1960,79,0.10151777046385528,0.07579769314535661,0.025720077318498666
1960,80,0.11541156250342102,0.08863845048442949,0.026773112018991532
1960,81,0.11450733725763991,0.08751954191859261,0.0269877953390473
1960,82,0.13422890022667142,0.10327084229498021,0.030958057931691207
1960,83,0.1495611532295318,0.1197587996073482,0.029802353622183614
1960,84,0.17140742192177483,0.13935559939233158,0.03205182252944325
1961,0,0.02929159328443542,0.022334587083498395,0.006957006200937026
1961,1,0.0017682090368920367,0.0015377462186078742,0.0002304628182841625
1961,2,0.0011049428845948542,0.0009224052844508609,0.0001825376001439933
1961,3,0.0008534386727846657,0.0006775050875152252,0.00017593358526944052
1961,4,0.0006980050473330212,0.0005699235443120495,0.00012808150302097171
1961,5,0.0006088801081622887,0.000505824616255188,0.00010305549190710067
1961,6,0.0005974455194342713,0.0004076626066164625,0.00018978291281780875
1961,7,0.0004949367665143395,0.00038609070362549095,0.00010884606288884854
1961,8,0.0004656259425893232,0.0003245961946833985,0.00014102974790592473
1961,9,0.0004440626090691868,0.00030783610181344464,0.00013622650725574216
1961,10,0.0004433839498274339,0.00029104444423177497,0.0001523395055956589
1961,11,0.00046267570222915797,0.0002932235510601114,0.00016945215116904658
1961,12,0.0005081395172168135,0.0003067200798054219,0.00020141943741139166
1961,13,0.0005824071759901495,0.00031711322835465566,0.00026529394763549383
1961,14,0.000625159709979583,0.0003302601384535729,0.00029489957152601005
1961,15,0.000837388270228003,0.00042223106000066906,0.0004151572102273339
1961,16,0.001063631558608129,0.0004990172339698162,0.0005646143246383127
