Year,Age,Gender,Population,Deaths,MortalityRate,qx_est
2013,56,Male,2122644,18075.0,0.008515323342020611,0.008479170666229274
2013,57,Female,2169168,11902.0,0.005486896358419449,0.005471870836317172
2013,57,Male,2041402,18650.0,0.009135878185678275,0.00909427284740183
2013,58,Female,2155005,12323.0,0.005718316198802323,0.00570199774823088
2013,58,Male,2022062,19912.000001,0.009847373622074893,0.009799046998642758
2013,59,Female,2078766,12661.0,0.006090632615696043,0.006072122311752692
2013,59,Male,1929923,20476.000002,0.010609749716439465,0.010553664845974642
2013,60,Female,2005539,13305.0,0.006634126785866543,0.0066121695492900034
2013,60,Male,1853834,21150.0,0.01140878848915275,0.011343955052975696
2013,61,Female,1931177,13758.0,0.007124152783509746,0.007098836162568456
2013,61,Male,1780866,21790.0,0.012235620198263093,0.012161069365777877
2013,62,Female,1880853,14269.0,0.007586451466435708,0.007557746977780222
2013,62,Male,1719812,22422.0,0.013037471537586666,0.012952851846997349
2013,63,Female,1838365,15106.0,0.00821708420253867,0.00818341624673069
2013,63,Male,1680635,23061.5,0.013721896783061164,0.01362818070124594
2013,64,Female,1788622,16383.0,0.00915956529663618,0.009117744263323568
2013,64,Male,1627392,23904.5,0.014688839566619474,0.014581484844264803
2013,65,Female,1771905,17796.0,0.010043427836142456,0.009993161039192788
2013,65,Male,1610889,25035.0,0.015541108046550694,0.015420968200856477
2013,66,Female,1848567,19252.0,0.010414553543366295,0.010360509856947253
2013,66,Male,1678870,27468.0,0.016361004723415153,0.016227890435506542
2013,67,Female,1374082,16419.0,0.011949068541760971,0.011877961923331237
2013,67,Male,1231563,22850.0,0.018553659049516752,0.018382599478117267
2013,68,Female,1362375,17386.0,0.01276153775575741,0.012680454614492742
2013,68,Male,1208858,23603.0,0.019525039334644764,0.019335660301334934
2013,69,Female,1333233,19326.999998,0.014496340848148822,0.014391774784054179
2013,69,Male,1171633,25373.0,0.021656098795441916,0.021423289099699927
2013,70,Female,1369126,21122.0,0.015427360228350057,0.015308968114381205
2013,70,Male,1194694,27599.5,0.023101731489402307,0.022836929537916384
2013,71,Female,1201725,20611.0,0.017151178514219143,0.01700493433231698
2013,71,Male,1035117,26553.5,0.025652655690129714,0.025326421859338533
2013,72,Female,1108119,20712.0,0.01869113335300631,0.0185175373710883
2013,72,Male,937249,25965.0,0.02770341712821246,0.027323196693885166
2013,73,Female,1052823,21321.0,0.020251267307040216,0.020047587634293484
2013,73,Male,882467,26304.0,0.02980734690362359,0.029367489104284883
2013,74,Female,991970,22571.0,0.02275371230984808,0.022496798865277556
2013,74,Male,829222,27143.0,0.032733091982605385,0.032203162145538644
2013,75,Female,958772,23568.0,0.024581443763480787,0.02428178048158658
2013,75,Male,785343,27948.0,0.03558699829246584,0.03496122614763986
2013,76,Female,891102,24641.0,0.027652277741493116,0.02727345332677622
2013,76,Male,716911,28157.0,0.039275447022015283,0.03851416574121458
2013,77,Female,858020,26269.0,0.03061583646068856,0.030151918208993322
2013,77,Male,677706,29588.0,0.04365904979445364,0.042719713250598756
2013,78,Female,831562,28026.0,0.03370283875405562,0.0331412250891987
2013,78,Male,640693,30531.0,0.047653088140497867,0.046535502147637686
2013,79,Female,752296,28647.0,0.038079426183310824,0.037363520686753526
2013,79,Male,569391,29945.0,0.05259127734720078,0.05123228389690937
2013,80,Female,735630,31096.0,0.0422712504927749,0.04139027805589257
2013,80,Male,542002,31638.0,0.05837247833033826,0.056701476267126294
2013,81,Female,709728,33266.0,0.04687147752378376,0.04578997285460562
2013,81,Male,509116,33033.0,0.06488305219242765,0.06282294222892004
2013,82,Female,683666,35788.0,0.05234719877835083,0.05100068176718353
2013,82,Male,475515,34660.0,0.07288939360482845,0.07029634449097644
2013,83,Female,663688,38496.0,0.058003158110437436,0.056353032709243966
2013,83,Male,445458,34776.0,0.07806796600352896,0.07509843745560774
2013,84,Female,605126,39867.0,0.06588214685867076,0.06375880324394312
2013,84,Male,392411,35070.0,0.08937058339343189,0.08549339019161883
2013,85,Female,574443,42957.0,0.07478026540492268,0.07205263393324757
2013,85,Male,356171,35036.0,0.09836848030861581,0.09368511697013138
2013,86,Female,530330,43698.0,0.08239775234288085,0.0790944065175121
2013,86,Male,315883,34794.0,0.11014837772213129,0.10429877667104315
2013,87,Female,478325,45233.5,0.09456645586160038,0.09023272675095384
2013,87,Male,271282,33490.0,0.12345087399827485,0.11613493906593997
2013,88,Female,438054,46320.5,0.10574152958311075,0.10034284721382702
2013,88,Male,235307,31924.0,0.13566957209092803,0.12686890829041453
2013,89,Female,385573,45778.0,0.118727193034782,0.1119499660462786
2013,89,Male,197842,30040.0,0.15183833564157256,0.14087284024398283
2013,90,Female,329814,44041.0,0.1335328397217826,0.12500126620918628
2013,90,Male,162969,27342.0,0.16777423927249968,0.15445529607404895
2013,91,Female,283727,42637.0,0.15027473592573143,0.1395284584975589
2013,91,Male,132152,24467.0,0.18514286579090744,0.1690144440374346
2013,92,Female,235978,39383.0,0.16689267643593894,0.15370956663103108
2013,92,Male,105266,21532.0,0.20454847719111585,0.1849847686892957
2013,93,Female,187762,34831.0,0.18550611944908982,0.16931624776156262
2013,93,Male,77755,17524.0,0.22537457398238056,0.20178282862949692
2013,94,Female,139490,29241.0,0.2096279303175855,0.1891141040929264
2013,94,Male,54523,13189.0,0.24189791464152743,0.2148636756160246
2013,95,Female,112271,25325.0,0.22557027193130907,0.20193902280879494
2013,95,Male,40879,10726.0,0.2623841092003229,0.23078449579686644
2013,96,Female,80822,20707.0,0.2562049936898369,0.22601670916184669
2013,96,Male,27486,7783.0,0.28316233718984213,0.24660252649678127
2013,97,Female,60675,16708.0,0.27536876802637,0.24070793104709454
2013,97,Male,18701,5663.0,0.30281803112133043,0.26126648935092767
2013,98,Female,43869,13495.0,0.3076204153274522,0.264805666448933
2013,98,Male,12642,3944.0,0.31197595317196647,0.2680008697261185
2013,99,Female,30681,9755.0,0.31794921938659104,0.2723602625313509
2013,99,Male,8126,2665.0,0.32795963573714004,0.27960790278557457
2014,0,Female,1930369,10329.0,0.0053507904447284435,0.0053365004644608804
2014,0,Male,2024604,12886.0,0.006364701442850058,0.006344489634065198
2014,1,Female,1930724,664.0,0.0003439124390643096,0.00034385330796027347
2014,1,Male,2018835,796.0,0.00039428680402311234,0.0003942090831963174
2014,2,Female,1935600,424.0,0.00021905352345525934,0.00021902953298391648
2014,2,Male,2024415,563.0,0.00027810503281194815,0.000278066365191898
2014,3,Female,1957614,311.0,0.00015886686548012018,0.000158854246807838
2014,3,Male,2050238,429.0,0.00020924399996488213,0.00020922210996587864
2014,4,Female,1961637,259.0,0.00013203258299063485,0.00013202386707278357
2014,4,Male,2044770,385.0,0.00018828523501420697,0.00018826751046174817
